ncols         29
nrows         21
xllcorner     119.050298
yllcorner     30.119212
cellsize      0.1
NODATA_value  -9999
-9999.000000	-9999.000000	-9999.000000	164.291000	153.234000	154.268000	151.585000	-9999.000000	-9999.000000	-9999.000000	-9999.000000	-9999.000000	-9999.000000	-9999.000000	-9999.000000	-9999.000000	-9999.000000	-9999.000000	-9999.000000	-9999.000000	-9999.000000	-9999.000000	-9999.000000	-9999.000000	-9999.000000	-9999.000000	-9999.000000	-9999.000000	-9999.000000
-9999.000000	-9999.000000	175.468000	161.319000	146.180000	129.442000	128.224000	133.856000	-9999.000000	-9999.000000	-9999.000000	-9999.000000	-9999.000000	-9999.000000	-9999.000000	-9999.000000	-9999.000000	-9999.000000	-9999.000000	-9999.000000	-9999.000000	-9999.000000	-9999.000000	-9999.000000	-9999.000000	-9999.000000	-9999.000000	-9999.000000	-9999.000000
-9999.000000	-9999.000000	179.191000	167.227000	156.662000	134.781000	136.758000	139.419000	140.815000	-9999.000000	-9999.000000	-9999.000000	-9999.000000	-9999.000000	163.906000	169.478000	172.598000	-9999.000000	-9999.000000	-9999.000000	-9999.000000	-9999.000000	-9999.000000	-9999.000000	-9999.000000	-9999.000000	-9999.000000	-9999.000000	-9999.000000
-9999.000000	-9999.000000	183.982000	168.720000	155.246000	142.874000	126.151000	131.617000	133.044000	126.561000	126.326000	134.306000	138.813000	149.426000	163.383000	166.912000	170.999000	171.334000	-9999.000000	-9999.000000	-9999.000000	-9999.000000	-9999.000000	-9999.000000	-9999.000000	-9999.000000	-9999.000000	-9999.000000	-9999.000000
-9999.000000	-9999.000000	193.733000	176.618000	164.121000	148.509000	122.949000	124.487000	127.940000	133.455000	127.515000	125.675000	135.050000	139.918000	155.862000	157.258000	163.039000	168.548000	-9999.000000	-9999.000000	-9999.000000	-9999.000000	-9999.000000	-9999.000000	-9999.000000	-9999.000000	-9999.000000	-9999.000000	-9999.000000
-9999.000000	-9999.000000	-9999.000000	177.079000	168.122000	152.693000	129.306000	126.880000	125.674000	129.261000	129.231000	130.991000	127.869000	129.671000	139.212000	143.890000	155.181000	166.611000	177.414000	196.792000	204.560000	-9999.000000	-9999.000000	-9999.000000	-9999.000000	-9999.000000	-9999.000000	-9999.000000	-9999.000000
-9999.000000	-9999.000000	197.289000	182.853000	178.237000	160.526000	132.766000	128.541000	131.662000	129.027000	130.096000	129.309000	130.223000	128.047000	141.812000	151.145000	150.685000	167.338000	174.571000	193.938000	201.143000	213.573000	-9999.000000	-9999.000000	-9999.000000	-9999.000000	-9999.000000	-9999.000000	-9999.000000
-9999.000000	202.777000	195.569000	185.857000	178.088000	164.527000	145.077000	128.454000	129.357000	123.196000	123.815000	122.572000	117.267000	113.309000	126.578000	140.032000	141.947000	156.549000	165.465000	185.479000	188.924000	206.284000	208.256000	-9999.000000	-9999.000000	-9999.000000	-9999.000000	-9999.000000	-9999.000000
211.109000	198.370000	191.380000	183.908000	175.982000	164.360000	149.343000	131.218000	130.457000	124.030000	122.069000	111.944000	117.890000	117.324000	119.273000	129.479000	137.726000	155.067000	166.241000	185.384000	183.850000	199.374000	198.038000	203.363000	221.982000	-9999.000000	-9999.000000	-9999.000000	-9999.000000
-9999.000000	191.432000	189.284000	186.103000	178.714000	157.378000	146.152000	137.542000	124.526000	127.193000	115.374000	115.774000	124.748000	119.829000	120.592000	134.382000	152.433000	152.963000	164.076000	180.470000	169.350000	180.791000	187.014000	193.779000	197.151000	194.730000	-9999.000000	-9999.000000	-9999.000000
-9999.000000	-9999.000000	-9999.000000	178.600000	172.378000	168.174000	162.349000	148.441000	138.247000	124.208000	119.008000	123.552000	124.457000	116.930000	111.839000	131.746000	145.006000	153.733000	156.870000	161.925000	160.443000	166.037000	179.383000	188.042000	201.206000	202.279000	201.789000	-9999.000000	-9999.000000
-9999.000000	-9999.000000	-9999.000000	-9999.000000	-9999.000000	-9999.000000	159.577000	154.332000	145.411000	124.920000	123.184000	122.731000	116.683000	110.147000	116.274000	148.832000	161.326000	164.912000	162.462000	158.928000	157.886000	171.277000	184.431000	202.210000	215.539000	210.823000	197.582000	192.299000	-9999.000000
-9999.000000	-9999.000000	-9999.000000	-9999.000000	-9999.000000	160.237000	145.358000	149.881000	150.157000	131.212000	122.354000	112.046000	106.720000	103.767000	115.566000	148.227000	149.255000	147.750000	147.738000	139.706000	135.765000	145.782000	161.932000	182.497000	193.031000	186.567000	180.688000	176.650000	-9999.000000
-9999.000000	-9999.000000	-9999.000000	-9999.000000	-9999.000000	156.411000	157.776000	154.770000	153.448000	140.880000	127.691000	123.152000	122.996000	120.942000	119.033000	143.577000	145.896000	144.980000	140.864000	135.070000	132.165000	144.615000	155.668000	159.147000	179.427000	173.148000	175.364000	182.028000	-9999.000000
-9999.000000	-9999.000000	-9999.000000	-9999.000000	175.713000	164.833000	159.087000	154.928000	156.784000	146.509000	134.424000	123.316000	124.314000	122.258000	123.115000	130.214000	141.649000	133.765000	122.125000	132.372000	132.344000	145.175000	151.248000	-9999.000000	-9999.000000	-9999.000000	-9999.000000	-9999.000000	-9999.000000
-9999.000000	-9999.000000	-9999.000000	203.569000	176.608000	172.365000	169.794000	161.891000	159.407000	154.820000	145.703000	132.556000	129.172000	127.976000	132.530000	140.123000	136.799000	123.489000	128.159000	137.376000	134.790000	-9999.000000	-9999.000000	-9999.000000	-9999.000000	-9999.000000	-9999.000000	-9999.000000	-9999.000000
