region,date,metrics,type,value
HJH,2002_6,SF,GWRMP,5606.6794
HJH,2002_7,SF,GWRMP,5608.3818
HJH,2002_8,SF,GWRMP,5635.1177
HJH,2002_9,SF,GWRMP,5541.7487
HJH,2003_5,SF,GWRMP,5552.5195
HJH,2003_6,SF,GWRMP,5565.6425
HJH,2003_7,SF,GWRMP,5565.9569
HJH,2003_8,SF,GWRMP,5568.0123
HJH,2003_9,SF,GWRMP,5536.7872
HJH,2004_5,SF,GWRMP,5609.2391
HJH,2004_6,SF,GWRMP,5583.7553
HJH,2004_7,SF,GWRMP,5553.9009
HJH,2004_8,SF,GWRMP,5558.1785
HJH,2004_9,SF,GWRMP,5576.8814
HJH,2005_5,SF,GWRMP,5567.4554
HJH,2005_6,SF,GWRMP,5534.2529
HJH,2005_7,SF,GWRMP,5645.0912
HJH,2005_8,SF,GWRMP,5606.3748
HJH,2005_9,SF,GWRMP,5560.0441
HJH,2006_5,SF,GWRMP,5613.7082
HJH,2006_6,SF,GWRMP,5588.3329
HJH,2006_7,SF,GWRMP,5609.3077
HJH,2006_8,SF,GWRMP,5538.7958
HJH,2006_9,SF,GWRMP,5571.3166
HJH,2007_5,SF,GWRMP,5544.0551
HJH,2007_6,SF,GWRMP,5599.0686
HJH,2007_7,SF,GWRMP,5594.1433
HJH,2007_8,SF,GWRMP,5572.209
HJH,2007_9,SF,GWRMP,5624.8685
HJH,2008_5,SF,GWRMP,5593.4921
HJH,2008_6,SF,GWRMP,5727.8631
HJH,2008_7,SF,GWRMP,5587.1859
HJH,2008_8,SF,GWRMP,5607.2666
HJH,2008_9,SF,GWRMP,5581.672
HJH,2009_5,SF,GWRMP,5543.9461
HJH,2009_6,SF,GWRMP,5607.269
HJH,2009_7,SF,GWRMP,5641.6027
HJH,2009_8,SF,GWRMP,5634.8892
HJH,2009_9,SF,GWRMP,5568.217
HJH,2010_5,SF,GWRMP,5556.2585
HJH,2010_6,SF,GWRMP,5589.0177
HJH,2010_7,SF,GWRMP,5662.6778
HJH,2010_8,SF,GWRMP,5589.9106
HJH,2010_9,SF,GWRMP,5610.1905
HJH,2011_5,SF,GWRMP,5539.2785
HJH,2011_6,SF,GWRMP,5766.698
HJH,2011_7,SF,GWRMP,5586.9963
HJH,2011_8,SF,GWRMP,5664.7068
HJH,2011_9,SF,GWRMP,5543.9579
HJH,2012_5,SF,GWRMP,5614.2288
HJH,2012_6,SF,GWRMP,5670.1932
HJH,2012_7,SF,GWRMP,5581.9128
HJH,2012_8,SF,GWRMP,5655.6425
HJH,2012_9,SF,GWRMP,5574.5023
HJH,2013_5,SF,GWRMP,5581.9469
HJH,2013_6,SF,GWRMP,5673.2834
HJH,2013_7,SF,GWRMP,5537.5111
HJH,2013_8,SF,GWRMP,5588.7538
HJH,2013_9,SF,GWRMP,5551.0841
HJH,2014_5,SF,GWRMP,5578.2594
HJH,2014_6,SF,GWRMP,5622.2315
HJH,2014_7,SF,GWRMP,5640.5506
HJH,2014_8,SF,GWRMP,5653.1493
HJH,2014_9,SF,GWRMP,5589.4308
HJH,2015_5,SF,GWRMP,5580.1372
HJH,2015_6,SF,GWRMP,5694.7417
HJH,2015_7,SF,GWRMP,5640.9965
HJH,2015_8,SF,GWRMP,5634.5715
HJH,2015_9,SF,GWRMP,5598.2445
HJH,2016_5,SF,GWRMP,5668.5943
HJH,2016_6,SF,GWRMP,5715.3676
HJH,2016_7,SF,GWRMP,5593.7906
HJH,2016_8,SF,GWRMP,5567.4382
HJH,2016_9,SF,GWRMP,5661.346
HQ,1979_5,SF,GWRMP,6016.1691
HQ,1979_6,SF,GWRMP,6055.2161
HQ,1979_7,SF,GWRMP,6056.8007
HQ,1979_8,SF,GWRMP,6044.6933
