region,date,metrics,type,value
HJH,2002_6,AG,GWRMP,2298.3123
HJH,2002_7,AG,GWRMP,2298.8976
HJH,2002_8,AG,GWRMP,2310.8881
HJH,2002_9,AG,GWRMP,2269.5134
HJH,2003_5,AG,GWRMP,2274.0312
HJH,2003_6,AG,GWRMP,2279.6525
HJH,2003_7,AG,GWRMP,2281.4795
HJH,2003_8,AG,GWRMP,2281.7312
HJH,2003_9,AG,GWRMP,2268.4372
HJH,2004_5,AG,GWRMP,2298.2026
HJH,2004_6,AG,GWRMP,2289.6667
HJH,2004_7,AG,GWRMP,2275.6555
HJH,2004_8,AG,GWRMP,2277.2413
HJH,2004_9,AG,GWRMP,2285.8257
HJH,2005_5,AG,GWRMP,2280.2408
HJH,2005_6,AG,GWRMP,2266.7665
HJH,2005_7,AG,GWRMP,2316.3083
HJH,2005_8,AG,GWRMP,2298.8582
HJH,2005_9,AG,GWRMP,2278.0727
HJH,2006_5,AG,GWRMP,2300.5837
HJH,2006_6,AG,GWRMP,2290.0382
HJH,2006_7,AG,GWRMP,2300.5071
HJH,2006_8,AG,GWRMP,2268.7162
HJH,2006_9,AG,GWRMP,2281.7106
HJH,2007_5,AG,GWRMP,2272.1016
HJH,2007_6,AG,GWRMP,2295.3939
HJH,2007_7,AG,GWRMP,2292.4952
HJH,2007_8,AG,GWRMP,2283.5081
HJH,2007_9,AG,GWRMP,2306.1602
HJH,2008_5,AG,GWRMP,2291.6249
HJH,2008_6,AG,GWRMP,2349.88
HJH,2008_7,AG,GWRMP,2290.7642
HJH,2008_8,AG,GWRMP,2298.1578
HJH,2008_9,AG,GWRMP,2290.4413
HJH,2009_5,AG,GWRMP,2270.2106
HJH,2009_6,AG,GWRMP,2299.4139
HJH,2009_7,AG,GWRMP,2314.7296
HJH,2009_8,AG,GWRMP,2310.2889
HJH,2009_9,AG,GWRMP,2281.6477
HJH,2010_5,AG,GWRMP,2275.9118
HJH,2010_6,AG,GWRMP,2291.0739
HJH,2010_7,AG,GWRMP,2323.2874
HJH,2010_8,AG,GWRMP,2292.5112
HJH,2010_9,AG,GWRMP,2301.3484
HJH,2011_5,AG,GWRMP,2268.4784
HJH,2011_6,AG,GWRMP,2370.2381
HJH,2011_7,AG,GWRMP,2291.3104
HJH,2011_8,AG,GWRMP,2326.3732
HJH,2011_9,AG,GWRMP,2272.141
HJH,2012_5,AG,GWRMP,2301.9484
HJH,2012_6,AG,GWRMP,2330.5731
HJH,2012_7,AG,GWRMP,2289.8738
HJH,2012_8,AG,GWRMP,2319.4692
HJH,2012_9,AG,GWRMP,2284.6869
HJH,2013_5,AG,GWRMP,2286.5148
HJH,2013_6,AG,GWRMP,2329.9861
HJH,2013_7,AG,GWRMP,2268.6435
HJH,2013_8,AG,GWRMP,2291.6241
HJH,2013_9,AG,GWRMP,2274.9768
HJH,2014_5,AG,GWRMP,2284.6742
HJH,2014_6,AG,GWRMP,2305.5353
HJH,2014_7,AG,GWRMP,2312.3724
HJH,2014_8,AG,GWRMP,2317.902
HJH,2014_9,AG,GWRMP,2290.1884
HJH,2015_5,AG,GWRMP,2285.7145
HJH,2015_6,AG,GWRMP,2334.3586
HJH,2015_7,AG,GWRMP,2312.3153
HJH,2015_8,AG,GWRMP,2311.0884
HJH,2015_9,AG,GWRMP,2294.8996
HJH,2016_5,AG,GWRMP,2325.3036
HJH,2016_6,AG,GWRMP,2344.3777
HJH,2016_7,AG,GWRMP,2293.4943
HJH,2016_8,AG,GWRMP,2281.8555
HJH,2016_9,AG,GWRMP,2321.7829
HQ,1979_5,AG,GWRMP,2474.387
HQ,1979_6,AG,GWRMP,2497.1106
HQ,1979_7,AG,GWRMP,2492.1969
HQ,1979_8,AG,GWRMP,2486.8265
HQ,1979_9,AG,GWRMP,2497.3061
HQ,1980_5,AG,GWRMP,2481.3427
HQ,1980_6,AG,GWRMP,2507.0773
HQ,1980_7,AG,GWRMP,2525.535
HQ,1980_8,AG,GWRMP,2552.6084
HQ,1980_9,AG,GWRMP,2490.2757
HQ,1981_5,AG,GWRMP,2481.4653
HQ,1981_6,AG,GWRMP,2504.0355
HQ,1981_7,AG,GWRMP,2500.7315
HQ,1981_8,AG,GWRMP,2491.0637
HQ,1981_9,AG,GWRMP,2473.1174
HQ,1982_5,AG,GWRMP,2470.7416
HQ,1982_6,AG,GWRMP,2491.4008
HQ,1982_7,AG,GWRMP,2535.2729
HQ,1982_8,AG,GWRMP,2488.3933
HQ,1982_9,AG,GWRMP,2466.2917
HQ,1983_5,AG,GWRMP,2501.8737
HQ,1983_6,AG,GWRMP,2541.6932
HQ,1983_7,AG,GWRMP,2496.9977
HQ,1983_8,AG,GWRMP,2470.7779
HQ,1983_9,AG,GWRMP,2527.0789
HQ,1984_5,AG,GWRMP,2490.1653
HQ,1984_6,AG,GWRMP,2546.3271
HQ,1984_7,AG,GWRMP,2487.0946
HQ,1984_8,AG,GWRMP,2506.0967
HQ,1984_9,AG,GWRMP,2501.6914
HQ,1985_5,AG,GWRMP,2502.2899
HQ,1985_6,AG,GWRMP,2498.7381
HQ,1985_7,AG,GWRMP,2517.185
HQ,1985_8,AG,GWRMP,2488.1539
HQ,1985_9,AG,GWRMP,2500.6302
HQ,1986_5,AG,GWRMP,2472.4477
HQ,1986_6,AG,GWRMP,2536.603
HQ,1986_7,AG,GWRMP,2495.5074
HQ,1986_8,AG,GWRMP,2480.1067
HQ,1986_9,AG,GWRMP,2482.3036
HQ,1987_5,AG,GWRMP,2480.7758
HQ,1987_6,AG,GWRMP,2496.809
HQ,1987_7,AG,GWRMP,2578.3126
HQ,1987_8,AG,GWRMP,2514.0214
HQ,1987_9,AG,GWRMP,2488.2806
HQ,1988_5,AG,GWRMP,2495.2197
HQ,1988_6,AG,GWRMP,2492.3184
HQ,1988_7,AG,GWRMP,2503.7795
HQ,1988_8,AG,GWRMP,2491.4934
HQ,1988_9,AG,GWRMP,2499.5495
HQ,1989_5,AG,GWRMP,2486.558
HQ,1989_6,AG,GWRMP,2492.1109
HQ,1989_7,AG,GWRMP,2522.5089
HQ,1989_8,AG,GWRMP,2520.8467
HQ,1989_9,AG,GWRMP,2504.0413
HQ,1990_5,AG,GWRMP,2483.5184
HQ,1990_6,AG,GWRMP,2496.3565
HQ,1990_7,AG,GWRMP,2476.3115
HQ,1990_8,AG,GWRMP,2539.283
HQ,1990_9,AG,GWRMP,2505.5995
HQ,1991_5,AG,GWRMP,2486.4047
HQ,1991_6,AG,GWRMP,2546.4291
HQ,1991_7,AG,GWRMP,2550.0807
HQ,1991_8,AG,GWRMP,2490.5104
HQ,1991_9,AG,GWRMP,2497.7253
HQ,1992_5,AG,GWRMP,2473.8302
HQ,1992_6,AG,GWRMP,2494.7628
HQ,1992_7,AG,GWRMP,2474.2606
HQ,1992_8,AG,GWRMP,2514.6699
HQ,1992_9,AG,GWRMP,2501.9124
HQ,1993_5,AG,GWRMP,2489.9419
HQ,1993_6,AG,GWRMP,2509.7716
HQ,1993_7,AG,GWRMP,2524.3033
HQ,1993_8,AG,GWRMP,2555.3
HQ,1993_9,AG,GWRMP,2489.4286
HQ,1994_5,AG,GWRMP,2482.5598
HQ,1994_6,AG,GWRMP,2508.1512
HQ,1994_7,AG,GWRMP,2461.601
HQ,1994_8,AG,GWRMP,2492.8427
HQ,1994_9,AG,GWRMP,2466.6237
HQ,1995_5,AG,GWRMP,2500.8321
HQ,1995_6,AG,GWRMP,2515.2356
HQ,1995_7,AG,GWRMP,2506.2473
HQ,1995_8,AG,GWRMP,2481.7924
HQ,1995_9,AG,GWRMP,2459.6965
HQ,1996_5,AG,GWRMP,2465.7646
HQ,1996_6,AG,GWRMP,2542.9998
HQ,1996_7,AG,GWRMP,2547.9609
HQ,1996_8,AG,GWRMP,2487.7209
HQ,1996_9,AG,GWRMP,2464.8356
HQ,1997_5,AG,GWRMP,2490.7178
HQ,1997_6,AG,GWRMP,2485.6177
HQ,1997_7,AG,GWRMP,2502.1027
HQ,1997_8,AG,GWRMP,2508.5395
HQ,1997_9,AG,GWRMP,2463.2349
HQ,1998_5,AG,GWRMP,2482.2538
HQ,1998_6,AG,GWRMP,2512.6672
HQ,1998_7,AG,GWRMP,2504.6493
HQ,1998_8,AG,GWRMP,2491.3115
HQ,1998_9,AG,GWRMP,2506.4518
HQ,1999_5,AG,GWRMP,2486.2124
HQ,1999_6,AG,GWRMP,2645.6368
HQ,1999_7,AG,GWRMP,2489.7949
HQ,1999_8,AG,GWRMP,2547.3121
HQ,1999_9,AG,GWRMP,2482.5987
HQ,2000_5,AG,GWRMP,2498.1605
HQ,2000_6,AG,GWRMP,2502.2483
HQ,2000_7,AG,GWRMP,2480.7296
HQ,2000_8,AG,GWRMP,2487.6898
HQ,2000_9,AG,GWRMP,2471.071
HQ,2001_5,AG,GWRMP,2471.5621
HQ,2001_6,AG,GWRMP,2544.0108
HQ,2001_7,AG,GWRMP,2497.1897
HQ,2001_8,AG,GWRMP,2523.7007
HQ,2001_9,AG,GWRMP,2460.0435
HQ,2002_5,AG,GWRMP,2515.0752
HQ,2002_6,AG,GWRMP,2520.8721
HQ,2002_7,AG,GWRMP,2489.9824
HQ,2002_8,AG,GWRMP,2497.0827
HQ,2002_9,AG,GWRMP,2467.6281
HQ,2003_5,AG,GWRMP,2471.2995
HQ,2003_6,AG,GWRMP,2492.112
HQ,2003_7,AG,GWRMP,2520.9838
HQ,2003_8,AG,GWRMP,2481.0976
HQ,2003_9,AG,GWRMP,2474.4161
HQ,2004_5,AG,GWRMP,2494.6085
HQ,2004_6,AG,GWRMP,2509.1104
HQ,2004_7,AG,GWRMP,2487.2825
HQ,2004_8,AG,GWRMP,2474.6238
HQ,2004_9,AG,GWRMP,2473.4243
HQ,2005_5,AG,GWRMP,2482.3961
HQ,2005_6,AG,GWRMP,2473.8311
HQ,2005_7,AG,GWRMP,2518.7968
HQ,2005_8,AG,GWRMP,2501.5689
HQ,2005_9,AG,GWRMP,2480.3391
HQ,2006_5,AG,GWRMP,2491.4215
HQ,2006_6,AG,GWRMP,2481.8186
HQ,2006_7,AG,GWRMP,2534.8471
HQ,2006_8,AG,GWRMP,2469.9572
HQ,2006_9,AG,GWRMP,2484.6583
HQ,2007_5,AG,GWRMP,2478.2115
HQ,2007_6,AG,GWRMP,2484.9653
HQ,2007_7,AG,GWRMP,2516.3222
HQ,2007_8,AG,GWRMP,2486.8151
HQ,2007_9,AG,GWRMP,2499.4553
HQ,2008_5,AG,GWRMP,2494.2356
HQ,2008_6,AG,GWRMP,2543.1377
HQ,2008_7,AG,GWRMP,2494.9241
HQ,2008_8,AG,GWRMP,2487.8093
HQ,2008_9,AG,GWRMP,2481.3253
HQ,2009_5,AG,GWRMP,2471.4927
HQ,2009_6,AG,GWRMP,2523.4923
HQ,2009_7,AG,GWRMP,2548.2008
HQ,2009_8,AG,GWRMP,2501.7883
HQ,2009_9,AG,GWRMP,2474.4641
HQ,2010_5,AG,GWRMP,2480.0303
HQ,2010_6,AG,GWRMP,2477.5105
HQ,2010_7,AG,GWRMP,2533.3608
HQ,2010_8,AG,GWRMP,2486.1861
HQ,2010_9,AG,GWRMP,2485.4462
HQ,2011_5,AG,GWRMP,2467.6746
HQ,2011_6,AG,GWRMP,2562.3493
HQ,2011_7,AG,GWRMP,2509.354
HQ,2011_8,AG,GWRMP,2540.4213
HQ,2011_9,AG,GWRMP,2463.0385
HQ,2012_5,AG,GWRMP,2497.3209
HQ,2012_6,AG,GWRMP,2488.3278
HQ,2012_7,AG,GWRMP,2496.7665
HQ,2012_8,AG,GWRMP,2545.7252
HQ,2012_9,AG,GWRMP,2490.4025
HQ,2013_5,AG,GWRMP,2500.1685
HQ,2013_6,AG,GWRMP,2503.2411
HQ,2013_7,AG,GWRMP,2491.103
HQ,2013_8,AG,GWRMP,2485.3315
HQ,2013_9,AG,GWRMP,2473.8417
HQ,2014_5,AG,GWRMP,2483.0971
HQ,2014_6,AG,GWRMP,2502.9222
HQ,2014_7,AG,GWRMP,2532.0844
HQ,2014_8,AG,GWRMP,2516.2207
