region,date,metrics,type,value,value1
HJH,2001_9,EN,GWRMP,1.6401,1.6401
HJH,2002_5,EN,GWRMP,1.9958,1.9958
HJH,2002_6,EN,GWRMP,2.1941,2.1941
HJH,2002_7,EN,GWRMP,2.2017,2.2017
HJH,2002_8,EN,GWRMP,2.508,2.508
HJH,2002_9,EN,GWRMP,1.5521,1.5521
HJH,2003_5,EN,GWRMP,1.7491,1.7491
HJH,2003_6,EN,GWRMP,1.8889,1.8889
HJH,2003_7,EN,GWRMP,2.1014,2.1014
HJH,2003_8,EN,GWRMP,1.8421,1.8421
HJH,2003_9,EN,GWRMP,1.977,1.977
HJH,2004_5,EN,GWRMP,2.2501,2.2501
HJH,2004_6,EN,GWRMP,2.3744,2.3744
HJH,2004_7,EN,GWRMP,1.7633,1.7633
HJH,2004_8,EN,GWRMP,1.9039,1.9039
HJH,2004_9,EN,GWRMP,2.0792,2.0792
HJH,2005_5,EN,GWRMP,1.7173,1.7173
HJH,2005_6,EN,GWRMP,1.5796,1.5796
HJH,2005_7,EN,GWRMP,2.6433,2.6433
HJH,2005_8,EN,GWRMP,2.3885,2.3885
HJH,2005_9,EN,GWRMP,2.2248,2.2248
HJH,2006_5,EN,GWRMP,2.3025,2.3025
HJH,2006_6,EN,GWRMP,1.8906,1.8906
HJH,2006_7,EN,GWRMP,2.1888,2.1888
HJH,2006_8,EN,GWRMP,1.832,1.832
HJH,2006_9,EN,GWRMP,1.8014,1.8014
HJH,2007_5,EN,GWRMP,1.9579,1.9579
HJH,2007_6,EN,GWRMP,2.2964,2.2964
HJH,2007_7,EN,GWRMP,2.0362,2.0362
HJH,2007_8,EN,GWRMP,2.166,2.166
HJH,2007_9,EN,GWRMP,2.1631,2.1631
HJH,2008_5,EN,GWRMP,1.5983,1.5983
HJH,2008_6,EN,GWRMP,2.4867,2.4867
HJH,2008_7,EN,GWRMP,1.9961,1.9961
HJH,2008_8,EN,GWRMP,1.9519,1.9519
HJH,2008_9,EN,GWRMP,2.4813,2.4813
HJH,2009_5,EN,GWRMP,1.7015,1.7015
HJH,2009_6,EN,GWRMP,2.1742,2.1742
HJH,2009_7,EN,GWRMP,2.3267,2.3267
HJH,2009_8,EN,GWRMP,2.1811,2.1811
HJH,2009_9,EN,GWRMP,2.0801,2.0801
HJH,2010_5,EN,GWRMP,1.7062,1.7062
HJH,2010_6,EN,GWRMP,2.148,2.148
HJH,2010_7,EN,GWRMP,2.3693,2.3693
HJH,2010_8,EN,GWRMP,2.31,2.31
HJH,2010_9,EN,GWRMP,2.4641,2.4641
HJH,2011_5,EN,GWRMP,1.8616,1.8616
HJH,2011_6,EN,GWRMP,2.7592,2.7592
HJH,2011_7,EN,GWRMP,2.4653,2.4653
HJH,2011_8,EN,GWRMP,2.5428,2.5428
HJH,2011_9,EN,GWRMP,2.0335,2.0335
HJH,2012_5,EN,GWRMP,2.3774,2.3774
HJH,2012_6,EN,GWRMP,2.7417,2.7417
HJH,2012_7,EN,GWRMP,2.406,2.406
HJH,2012_8,EN,GWRMP,2.3864,2.3864
HJH,2012_9,EN,GWRMP,1.8794,1.8794
HJH,2013_5,EN,GWRMP,1.7042,1.7042
HJH,2013_6,EN,GWRMP,2.6897,2.6897
HJH,2013_7,EN,GWRMP,1.8578,1.8578
HJH,2013_8,EN,GWRMP,2.3574,2.3574
HJH,2013_9,EN,GWRMP,1.9234,1.9234
HJH,2014_5,EN,GWRMP,1.9138,1.9138
HJH,2014_6,EN,GWRMP,2.1766,2.1766
HJH,2014_7,EN,GWRMP,2.1238,2.1238
HJH,2014_8,EN,GWRMP,2.2048,2.2048
HJH,2014_9,EN,GWRMP,2.0479,2.0479
HJH,2015_5,EN,GWRMP,1.598,1.598
HJH,2015_6,EN,GWRMP,2.1361,2.1361
HJH,2015_7,EN,GWRMP,2.4059,2.4059
HJH,2015_8,EN,GWRMP,2.424,2.424
HJH,2015_9,EN,GWRMP,2.343,2.343
HJH,2016_5,EN,GWRMP,2.5435,2.5435
HJH,2016_6,EN,GWRMP,2.2012,2.2012
HJH,2016_7,EN,GWRMP,2.2205,2.2205
HJH,2016_8,EN,GWRMP,2.2281,2.2281
HJH,2016_9,EN,GWRMP,2.2394,2.2394
HQ,1979_5,EN,GWRMP,2.2304,2.34192
HQ,1979_6,EN,GWRMP,3.1462,3.30351
HQ,1979_7,EN,GWRMP,2.2148,2.32554
HQ,1979_8,EN,GWRMP,2.6104,2.74092
HQ,1979_9,EN,GWRMP,3.0846,3.23883
HQ,1980_5,EN,GWRMP,2.8105,2.951025
HQ,1980_6,EN,GWRMP,2.6278,2.75919
HQ,1980_7,EN,GWRMP,2.9034,3.04857
HQ,1980_8,EN,GWRMP,2.8698,3.01329
HQ,1980_9,EN,GWRMP,1.8641,1.957305
HQ,1981_5,EN,GWRMP,2.2201,2.331105
HQ,1981_6,EN,GWRMP,2.4106,2.53113
HQ,1981_7,EN,GWRMP,3.0214,3.17247
HQ,1981_8,EN,GWRMP,3.1142,3.26991
HQ,1981_9,EN,GWRMP,1.7751,1.863855
HQ,1982_5,EN,GWRMP,2.1148,2.22054
HQ,1982_6,EN,GWRMP,2.3966,2.51643
HQ,1982_7,EN,GWRMP,2.7026,2.83773
HQ,1982_8,EN,GWRMP,2.709,2.84445
HQ,1982_9,EN,GWRMP,1.5179,1.593795
HQ,1983_5,EN,GWRMP,3.0307,3.182235
HQ,1983_6,EN,GWRMP,3.4023,3.572415
HQ,1983_7,EN,GWRMP,2.8019,2.941995
HQ,1983_8,EN,GWRMP,2.2984,2.41332
HQ,1983_9,EN,GWRMP,3.001,3.15105
HQ,1984_5,EN,GWRMP,1.8641,1.957305
HQ,1984_6,EN,GWRMP,2.9145,3.060225
HQ,1984_7,EN,GWRMP,2.0559,2.158695
HQ,1984_8,EN,GWRMP,2.9145,3.060225
HQ,1984_9,EN,GWRMP,2.8105,2.951025
HQ,1985_5,EN,GWRMP,2.8605,3.003525
HQ,1985_6,EN,GWRMP,2.5545,2.682225
HQ,1985_7,EN,GWRMP,2.6584,2.79132
HQ,1985_8,EN,GWRMP,2.6997,2.834685
HQ,1985_9,EN,GWRMP,3.0034,3.15357
HQ,1986_5,EN,GWRMP,1.5346,1.61133
HQ,1986_6,EN,GWRMP,3.1049,3.260145
HQ,1986_7,EN,GWRMP,2.1235,2.229675
HQ,1986_8,EN,GWRMP,2.2334,2.34507
HQ,1986_9,EN,GWRMP,2.9534,3.10107
HQ,1987_5,EN,GWRMP,1.8096,1.90008
HQ,1987_6,EN,GWRMP,2.8222,2.96331
HQ,1987_7,EN,GWRMP,3.4203,3.591315
HQ,1987_8,EN,GWRMP,3.051,3.20355
HQ,1987_9,EN,GWRMP,2.7542,2.89191
HQ,1988_5,EN,GWRMP,1.6201,1.701105
HQ,1988_6,EN,GWRMP,2.4796,2.60358
HQ,1988_7,EN,GWRMP,2.5224,2.64852
HQ,1988_8,EN,GWRMP,3.069,3.22245
HQ,1988_9,EN,GWRMP,2.7566,2.89443
HQ,1989_5,EN,GWRMP,2.3304,2.44692
HQ,1989_6,EN,GWRMP,1.8359,1.927695
HQ,1989_7,EN,GWRMP,3.001,3.15105
HQ,1989_8,EN,GWRMP,3.0753,3.229065
HQ,1989_9,EN,GWRMP,2.9378,3.08469
HQ,1990_5,EN,GWRMP,2.4019,2.521995
HQ,1990_6,EN,GWRMP,2.983,3.13215
HQ,1990_7,EN,GWRMP,2.5175,2.643375
HQ,1990_8,EN,GWRMP,2.8902,3.03471
HQ,1990_9,EN,GWRMP,2.9737,3.122385
HQ,1991_5,EN,GWRMP,2.2558,2.36859
HQ,1991_6,EN,GWRMP,2.7712,2.90976
HQ,1991_7,EN,GWRMP,3.325,3.49125
HQ,1991_8,EN,GWRMP,2.3061,2.421405
HQ,1991_9,EN,GWRMP,3.1642,3.32241
HQ,1992_5,EN,GWRMP,1.919,2.01495
HQ,1992_6,EN,GWRMP,2.7926,2.93223
HQ,1992_7,EN,GWRMP,2.5341,2.660805
HQ,1992_8,EN,GWRMP,2.6487,2.781135
HQ,1992_9,EN,GWRMP,3.1822,3.34131
HQ,1993_5,EN,GWRMP,2.4553,2.578065
HQ,1993_6,EN,GWRMP,2.3223,2.438415
HQ,1993_7,EN,GWRMP,3.2595,3.422475
HQ,1993_8,EN,GWRMP,3.2415,3.403575
HQ,1993_9,EN,GWRMP,1.7752,1.86396
HQ,1994_5,EN,GWRMP,2.4948,2.61954
HQ,1994_6,EN,GWRMP,2.5807,2.709735
HQ,1994_7,EN,GWRMP,1.5734,1.65207
HQ,1994_8,EN,GWRMP,2.5092,2.63466
HQ,1994_9,EN,GWRMP,1.834,1.9257
HQ,1995_5,EN,GWRMP,1.8688,1.96224
HQ,1995_6,EN,GWRMP,2.9534,3.10107
HQ,1995_7,EN,GWRMP,2.1516,2.25918
HQ,1995_8,EN,GWRMP,2.4166,2.53743
HQ,1995_9,EN,GWRMP,0.96488,1.013124
HQ,1996_5,EN,GWRMP,1.664,1.7472
HQ,1996_6,EN,GWRMP,3.2118,3.37239
HQ,1996_7,EN,GWRMP,2.7833,2.922465
HQ,1996_8,EN,GWRMP,2.4811,2.605155
HQ,1996_9,EN,GWRMP,1.7963,1.886115
HQ,1997_5,EN,GWRMP,2.7736,2.91228
HQ,1997_6,EN,GWRMP,2.4419,2.563995
HQ,1997_7,EN,GWRMP,2.9354,3.08217
HQ,1997_8,EN,GWRMP,2.9354,3.08217
HQ,1997_9,EN,GWRMP,1.9937,2.093385
HQ,1998_5,EN,GWRMP,2.5068,2.63214
HQ,1998_6,EN,GWRMP,2.4014,2.52147
HQ,1998_7,EN,GWRMP,2.2484,2.36082
HQ,1998_8,EN,GWRMP,3.0783,3.232215
HQ,1998_9,EN,GWRMP,2.6817,2.815785
HQ,1999_5,EN,GWRMP,1.835,1.92675
HQ,1999_6,EN,GWRMP,3.6467,3.829035
HQ,1999_7,EN,GWRMP,2.4568,2.57964
HQ,1999_8,EN,GWRMP,2.7426,2.87973
HQ,1999_9,EN,GWRMP,2.8971,3.041955
HQ,2000_5,EN,GWRMP,2.5575,2.685375
HQ,2000_6,EN,GWRMP,2.5817,2.710785
HQ,2000_7,EN,GWRMP,2.4199,2.540895
HQ,2000_8,EN,GWRMP,1.715,1.80075
HQ,2000_9,EN,GWRMP,2.1299,2.236395
HQ,2001_5,EN,GWRMP,2.3747,2.493435
HQ,2001_6,EN,GWRMP,2.8042,2.94441
HQ,2001_7,EN,GWRMP,2.8519,2.994495
HQ,2001_8,EN,GWRMP,2.5817,2.710785
HQ,2001_9,EN,GWRMP,1.4191,1.490055
HQ,2002_5,EN,GWRMP,2.4958,2.62059
HQ,2002_6,EN,GWRMP,3.1079,3.263295
HQ,2002_7,EN,GWRMP,2.706,2.8413
HQ,2002_8,EN,GWRMP,2.9378,3.08469
HQ,2002_9,EN,GWRMP,1.7302,1.81671
HQ,2003_5,EN,GWRMP,1.9578,2.05569
HQ,2003_6,EN,GWRMP,2.9378,3.08469
HQ,2003_7,EN,GWRMP,3.2415,3.403575
HQ,2003_8,EN,GWRMP,2.5545,2.682225
HQ,2003_9,EN,GWRMP,2.3567,2.474535
HQ,2004_5,EN,GWRMP,2.3699,2.488395
HQ,2004_6,EN,GWRMP,2.5527,2.680335
HQ,2004_7,EN,GWRMP,2.294,2.4087
HQ,2004_8,EN,GWRMP,1.728,1.8144
HQ,2004_9,EN,GWRMP,2.4466,2.56893
HQ,2005_5,EN,GWRMP,2.6793,2.813265
HQ,2005_6,EN,GWRMP,2.5331,2.659755
HQ,2005_7,EN,GWRMP,3.4023,3.572415
HQ,2005_8,EN,GWRMP,2.325,2.44125
HQ,2005_9,EN,GWRMP,2.1759,2.284695
HQ,2006_5,EN,GWRMP,2.385,2.50425
HQ,2006_6,EN,GWRMP,2.2911,2.405655
HQ,2006_7,EN,GWRMP,3.2391,3.401055
HQ,2006_8,EN,GWRMP,2.0447,2.146935
HQ,2006_9,EN,GWRMP,2.1192,2.22516
HQ,2007_5,EN,GWRMP,2.5075,2.632875
HQ,2007_6,EN,GWRMP,2.3913,2.510865
HQ,2007_7,EN,GWRMP,3.4562,3.62901
HQ,2007_8,EN,GWRMP,2.6021,2.732205
HQ,2007_9,EN,GWRMP,2.8868,3.03114
HQ,2008_5,EN,GWRMP,2.4772,2.60106
HQ,2008_6,EN,GWRMP,3.2391,3.401055
HQ,2008_7,EN,GWRMP,2.777,2.91585
HQ,2008_8,EN,GWRMP,2.7177,2.853585
HQ,2008_9,EN,GWRMP,2.4006,2.52063
HQ,2009_5,EN,GWRMP,1.5593,1.637265
HQ,2009_6,EN,GWRMP,3.1759,3.334695
HQ,2009_7,EN,GWRMP,3.325,3.49125
HQ,2009_8,EN,GWRMP,2.9378,3.08469
HQ,2009_9,EN,GWRMP,1.9318,2.02839
HQ,2010_5,EN,GWRMP,2.5482,2.67561
HQ,2010_6,EN,GWRMP,2.5068,2.63214
HQ,2010_7,EN,GWRMP,3.325,3.49125
HQ,2010_8,EN,GWRMP,2.3596,2.47758
HQ,2010_9,EN,GWRMP,2.6746,2.80833
HQ,2011_5,EN,GWRMP,1.9623,2.060415
HQ,2011_6,EN,GWRMP,3.4086,3.57903
HQ,2011_7,EN,GWRMP,2.9651,3.113355
HQ,2011_8,EN,GWRMP,3.2774,3.44127
HQ,2011_9,EN,GWRMP,1.7839,1.873095
HQ,2012_5,EN,GWRMP,3.069,3.22245
HQ,2012_6,EN,GWRMP,3.051,3.20355
HQ,2012_7,EN,GWRMP,2.6857,2.819985
HQ,2012_8,EN,GWRMP,3.4023,3.572415
HQ,2012_9,EN,GWRMP,2.9674,3.11577
HQ,2013_5,EN,GWRMP,2.3786,2.49753
HQ,2013_6,EN,GWRMP,2.658,2.7909
HQ,2013_7,EN,GWRMP,3.1346,3.29133
HQ,2013_8,EN,GWRMP,2.4496,2.57208
HQ,2013_9,EN,GWRMP,1.74,1.827
HQ,2014_5,EN,GWRMP,2.4088,2.52924
